DATASET_GRADIENT
SEPARATOR SPACE
DATASET_LABEL JAP
COLOR #008000
STRIP_WIDTH 60
MARGIN 0
BORDER_WIDTH 2
BORDER_COLOR #000000
COLOR_MIN #36BCCB
COLOR_MAX #FF6836
USE_MID_COLOR 1
COLOR_MID #ffffff
SHOW_INTERNAL 1

DATA
Methanococcus_maripaludis 2
Thermococcus_gorgonarius 2
Methanobrevibacter_smithii 2
Candidatus_Nitrosotenuis_cloacae 2
Staphylothermus_marinus 2
Haloprofundus_sp._MHR1 2
Acidianus_ambivalens 2
Halanaeroarchaeum_sulfurireducens 2
Geoglobus_acetivorans 3
Candidatus_Nitrosopumilus_sp._SW 2
Halorussus_sp._RC-68 2
Methanocaldococcus_fervens 2
Methanofollis_liminatans 2
Halobacterium_sp._DL1 2
Sulfurisphaera_ohwakuensis 2
Methanobacterium_lacus 2
Caldisphaera_lagunensis 2
Thermococcus_thioreducens 2
Pyrococcus_kukulkanii 2
Candidatus_Nitrosotalea_okcheonensis 2
Methanobrevibacter_olleyae 2
Halobiforma_lacisalsi 2
Methanothermobacter_sp._KEPCO-1 2
Methanothermus_fervidus 2
Candidatus_Korarchaeum_cryptofilum 3
Natrialba_magadii 3
Methanosphaera_sp._BMS 2
Sulfolobus_acidocaldarius 1
Candidatus_Nitrosotalea_devanaterra 2
Metallosphaera_cuprina 2
Sulfolobus_islandicus 2
Pyrodictium_delaneyi 2
Halogeometricum_borinquense 2
Halobacteriaceae_archaeon_HD8-45 2
Methanothermobacter_sp._CaT2 2
Halalkalicoccus_jeotgali 2
Halorubrum_ezzemoulense 2
Natronorubrum_bangense 2
Thermococcus_cleftensis 3
Nitrosopumilus_maritimus 2
Vulcanisaeta_distributa 2
Haloarculaceae_archaeon_HArcel1 2
Methanopyrus_sp._SNP6 2
Halorubrum_sp._PV6 2
Cuniculiplasma_divulgatum 2
Halorhabdus_sp._CBA1104 3
Methanocella_conradii 2
Salarchaeum_sp._JOR-1 2
Thermococcus_sp._5-4 2
Methanosphaera_stadtmanae 2
Methanocella_arvoryzae 2
Sulfuracidifex_tepidarius 2
Thermococcus_sp._P6 2
Sulfurisphaera_tokodaii 2
Sulfodiicoccus_acidiphilus 2
Methanococcus_aeolicus 2
Nitrososphaera_viennensis 2
Methanohalobium_evestigatum 2
Nitrosopumilus_adriaticus 2
Thermosphaera_aggregans 2
Methanococcus_vannielii 2
Halalkaliarchaeum_desulfuricum 2
Picrophilus_torridus 2
Halorubrum_lacusprofundi 2
Salinigranum_rubrum 2
Pyrococcus_horikoshii 2
Methanocaldococcus_sp._FS406-22 2
Thermococcus_barophilus 2
Thermococcus_kodakarensis 3
Halobacterium_salinarum 3
Methanosphaerula_palustris 2
Candidatus_Nitrosocosmicus_exaquare 2
Methanobacterium_paludis 2
Thermococcus_radiotolerans 2
Pyrobaculum_neutrophilum 3
Methanococcoides_methylutens 2
Methanoculleus_marisnigri 2
Ferroplasma_acidarmanus 2
Natronolimnobius_sulfurireducens 2
Salinarchaeum_sp._Harcht-Bsk1 2
Sulfolobus_sp._E11-6 2
Methanobrevibacter_millerae 2
Pyrobaculum_arsenaticum 2
Vulcanisaeta_moutnovskia 2
Thermoplasmatales_archaeon_BRNA1 2
Halobellus_limi 3
Pyrococcus_sp._NA2 2
Aciduliprofundum_boonei 2
Halorientalis_sp._IM1011 2
Methanobrevibacter_sp._YE315 2
Thermofilum_uzonense 3
